epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,22497.2,1.01959,0.61482,1.01976,0.85659,0.93458,0.95547,0.666,0.52483,0.25964,0.52096,0.00489452,0.00489452,0.00489452
104,22709.6,1.0056,0.58814,1.01777,0.85306,0.93323,0.95256,0.66478,0.52513,0.26004,0.52148,0.00481682,0.00481682,0.00481682
105,22922.2,0.99821,0.59827,1.01972,0.85771,0.93645,0.95589,0.66523,0.52519,0.25912,0.5215,0.00473919,0.00473919,0.00473919
106,23135,0.98672,0.57823,1.00923,0.8576,0.93645,0.95619,0.66533,0.52477,0.25851,0.52164,0.00466163,0.00466163,0.00466163
107,23347.9,0.97136,0.58421,0.99806,0.85787,0.93645,0.95539,0.66562,0.5249,0.25815,0.52194,0.00458416,0.00458416,0.00458416
108,23561.2,0.98793,0.594,1.01286,0.85764,0.9346,0.95553,0.66574,0.52543,0.25865,0.52211,0.00450682,0.00450682,0.00450682
109,23773.8,0.96162,0.57019,1.00937,0.85812,0.93831,0.9557,0.66601,0.52558,0.2584,0.52207,0.0044296,0.0044296,0.0044296
110,23986.1,0.96928,0.569,1.00968,0.8565,0.93716,0.9558,0.66603,0.52558,0.25815,0.52212,0.00435254,0.00435254,0.00435254
111,24198.6,0.95893,0.58203,1.00592,0.85545,0.94206,0.95616,0.66558,0.52589,0.25837,0.52248,0.00427565,0.00427565,0.00427565
112,24411.6,0.96945,0.57138,1.00283,0.8582,0.93892,0.95641,0.66556,0.52591,0.25801,0.52228,0.00419895,0.00419895,0.00419895
113,24624.4,0.97946,0.57736,1.00797,0.85939,0.93675,0.95744,0.66597,0.52571,0.25758,0.5223,0.00412246,0.00412246,0.00412246
114,24837,0.9774,0.56685,1.00188,0.86091,0.93714,0.95832,0.66658,0.52613,0.25714,0.52254,0.0040462,0.0040462,0.0040462
115,25048.7,0.96942,0.58251,0.99208,0.86456,0.93832,0.9593,0.6684,0.52582,0.25653,0.52257,0.00397019,0.00397019,0.00397019
116,25261.4,0.9587,0.56573,0.9959,0.86736,0.94393,0.95933,0.66699,0.52578,0.25673,0.52271,0.00389445,0.00389445,0.00389445
117,25475.6,0.95924,0.55952,0.98892,0.86675,0.94393,0.95927,0.66706,0.52585,0.25702,0.52258,0.00381899,0.00381899,0.00381899
118,25688.7,0.97062,0.56548,0.99963,0.86744,0.94184,0.95941,0.66751,0.52528,0.25651,0.52243,0.00374383,0.00374383,0.00374383
119,25903.3,0.95709,0.55875,1.00769,0.86757,0.94206,0.95953,0.66525,0.52513,0.25662,0.52232,0.00366899,0.00366899,0.00366899
120,26116.2,0.9258,0.52761,0.98671,0.86461,0.94393,0.95883,0.66642,0.52542,0.25747,0.52225,0.0035945,0.0035945,0.0035945
121,26329.4,0.96153,0.55901,1.00551,0.86563,0.94393,0.95899,0.66694,0.52487,0.25692,0.52215,0.00352037,0.00352037,0.00352037
122,26541.8,0.94302,0.54805,0.98833,0.86422,0.94393,0.95876,0.6672,0.52436,0.25627,0.52201,0.00344661,0.00344661,0.00344661
123,26753.7,0.94514,0.53225,0.98313,0.86614,0.94339,0.95886,0.6676,0.52397,0.25615,0.52185,0.00337325,0.00337325,0.00337325
124,26966.5,0.93077,0.52142,0.98696,0.86597,0.94206,0.95895,0.66683,0.52363,0.25602,0.52162,0.0033003,0.0033003,0.0033003
125,27179.1,0.95732,0.53978,1.00194,0.86516,0.94206,0.95897,0.66638,0.52337,0.25634,0.52153,0.00322778,0.00322778,0.00322778
126,27392.2,0.92783,0.53939,0.99237,0.86408,0.94206,0.95927,0.66632,0.52367,0.25569,0.52161,0.00315572,0.00315572,0.00315572
127,27605.2,0.93531,0.54139,1.00349,0.86688,0.93832,0.95899,0.66661,0.52351,0.25542,0.52163,0.00308412,0.00308412,0.00308412
128,27817.8,0.90067,0.52054,0.9792,0.86574,0.94206,0.95943,0.66526,0.52331,0.25535,0.52182,0.003013,0.003013,0.003013
129,28031.5,0.92802,0.54461,0.97787,0.86586,0.94113,0.95879,0.66465,0.52332,0.25469,0.5217,0.00294239,0.00294239,0.00294239
130,28246.5,0.89453,0.52361,0.97813,0.86568,0.9396,0.95886,0.66562,0.52323,0.25439,0.52159,0.0028723,0.0028723,0.0028723
131,28460.2,0.92192,0.53461,0.98135,0.86406,0.93859,0.95901,0.66513,0.5233,0.25456,0.52151,0.00280275,0.00280275,0.00280275
132,28674.6,0.90101,0.51399,0.98319,0.86543,0.93759,0.95897,0.66478,0.52357,0.25503,0.52155,0.00273375,0.00273375,0.00273375
133,28890.2,0.90219,0.52723,0.97005,0.8655,0.93818,0.95892,0.66406,0.52329,0.25451,0.52141,0.00266532,0.00266532,0.00266532
134,29105.9,0.88617,0.50583,0.9716,0.86549,0.9381,0.95896,0.66499,0.52302,0.25355,0.5213,0.00259748,0.00259748,0.00259748
135,29321.5,0.90093,0.51174,0.97803,0.86399,0.938,0.95899,0.66447,0.5233,0.25327,0.52144,0.00253024,0.00253024,0.00253024
136,29537.2,0.88541,0.50564,0.97379,0.86479,0.93645,0.95896,0.66367,0.52306,0.25261,0.52145,0.00246363,0.00246363,0.00246363
137,29753.1,0.90581,0.51692,0.98047,0.863,0.93458,0.95862,0.6643,0.523,0.25312,0.52138,0.00239766,0.00239766,0.00239766
138,29969.2,0.8808,0.49091,0.97477,0.86248,0.93458,0.95874,0.66422,0.52278,0.25299,0.52121,0.00233234,0.00233234,0.00233234
139,30184.7,0.89406,0.49561,0.97272,0.86221,0.93458,0.95817,0.66531,0.52288,0.25287,0.5213,0.00226769,0.00226769,0.00226769
